age,age_onset,birthplace,filename,native_language,sex,speakerid,country,file_missing?,English Learning Method,English Residence,Length of English Residence,Accent
27.0,9.0,"virginia, south africa",afrikaans1,afrikaans,1,1,south africa,False,academic,usa,0.5,rem
40.0,5.0,"pretoria, south africa",afrikaans2,afrikaans,0,2,south africa,False,academic,usa,10.0,rem
25.0,15.0,"diekabo, ivory coast",agni1,agni,0,3,ivory coast,False,academic,usa,1.2,rem
19.0,6.0,"prishtina, kosovo",albanian1,albanian,0,4,kosovo,False,naturalistic,usa,3.0,rem
33.0,15.0,"tirana, albania",albanian2,albanian,0,5,albania,False,naturalistic,usa,0.04,rem
20.0,5.0,"addis ababa, ethiopia",amharic1,amharic,1,6,ethiopia,False,academic,usa,2.0,rem
23.0,7.0,"arba minch, ethiopia",amharic2,amharic,0,7,ethiopia,False,academic,usa,2.0,rem
27.0,8.0,"addis ababa, ethiopia",amharic3,amharic,0,8,ethiopia,False,academic,usa,4.0,rem
20.0,7.0,"addis ababa, ethiopia",amharic4,amharic,0,9,ethiopia,False,academic,usa,2.0,rem
31.0,7.0,"addis ababa, ethiopia",amharic5,amharic,0,10,ethiopia,False,academic,usa,3.0,rem
38.0,12.0,"riyadh, saudi arabia",arabic1,arabic,1,11,saudi arabia,False,academic,usa,4.0,2
26.0,5.0,"cairo, egypt",arabic10,arabic,0,12,egypt,False,academic,usa,2.0,2
30.0,14.0,"monastir, tunisia",arabic11,arabic,1,13,tunisia,False,academic,usa,4.0,2
32.0,11.0,"baghdad, iraq",arabic12,arabic,0,14,iraq,False,academic,usa,8.0,2
25.0,15.0,"zabbougha, lebanon",arabic13,arabic,0,15,lebanon,False,academic,usa,1.0,2
18.0,2.5,"damascus, syria",arabic2,arabic,0,16,syria,False,naturalistic,usa,3.0,rem
24.0,9.0,"doha, qatar",arabic3,arabic,0,17,qatar,False,academic,usa,1.0,2
19.0,6.0,"sharjah, united arab emirates",arabic4,arabic,0,18,united arab emirates,False,academic,usa,0.6,2
19.0,15.0,"casablanca, morocco",arabic5,arabic,1,19,morocco,False,academic,usa,0.6,2
21.0,14.5,"sanaa, yemen",arabic6,arabic,0,20,yemen,False,academic,"uk,usa",2.0,2
18.0,15.0,"casablanca, morocco",arabic7,arabic,1,21,morocco,False,academic,usa,0.1,2
21.0,17.0,"casablanca, morocco",arabic8,arabic,0,22,morocco,False,academic,usa,0.7,2
19.0,9.0,"yerevan, armenia",armenian1,armenian,1,24,armenia,False,academic,usa,1.0,rem
24.0,14.0,"naxcivan, azerbaijan",azerbaijani1,azerbaijani,0,25,azerbaijan,False,academic,usa,1.0,rem
40.0,30.0,"douala, cameroon",bafang1,bafang,0,26,cameroon,False,academic,usa,10.0,16
31.0,29.0,"conakry, guinea",baga1,baga,0,27,guinea,False,academic,usa,2.0,16
43.0,40.0,"jianchuan, yunnan, china",bai1,bai,1,28,china,False,academic,,0.0,3
15.5,12.0,"bamako, mali",bambara1,bambara,1,29,mali,False,academic,usa,0.4,16
26.0,18.0,"bamako, mali",bambara2,bambara,1,30,mali,False,academic,usa,2.0,16
31.0,15.0,"foumban, cameroon",bamun1,bamun,1,31,cameroon,False,academic,usa,2.0,16
69.0,34.0,"vizcaya, spain",basque1,basque,1,32,spain,False,naturalistic,usa,35.0,9
50.0,19.0,"guernica, spain",basque2,basque,0,33,spain,False,naturalistic,usa,30.0,9
23.0,16.0,"dhaka, bangladesh",bengali1,bengali,0,34,bangladesh,False,academic,usa,1.0,rem
19.0,5.0,"dhaka, bangladesh",bengali3,bengali,1,36,bangladesh,False,academic,usa,6.0,rem
24.0,6.0,"chittagong, bangladesh",bengali4,bengali,0,37,bangladesh,False,academic,usa,5.0,rem
39.0,37.0,"doboj, bosnia and herzegovina",bosnian1,bosnian,0,38,bosnia and herzegovina,False,academic,usa,2.0,12
21.0,10.0,"sarajevo, bosnia and herzegovina",bosnian2,bosnian,0,39,bosnia and herzegovina,False,naturalistic,usa,0.1,12
25.0,16.0,"plovdiv, bulgaria",bulgarian1,bulgarian,1,40,bulgaria,False,academic,usa,7.0,12
53.0,42.0,"sofia, bulgaria",bulgarian2,bulgarian,1,41,bulgaria,False,academic,usa,11.0,12
27.0,10.0,"sofia, bulgaria",bulgarian3,bulgarian,0,42,bulgaria,False,academic,usa,10.0,12
22.0,20.0,"plovdiv, bulgaria",bulgarian4,bulgarian,0,43,bulgaria,False,naturalistic,usa,2.0,12
23.0,14.0,"sofia, bulgaria",bulgarian5,bulgarian,0,44,bulgaria,False,academic,usa,9.0,12
22.0,12.0,"hong kong, china",cantonese1,cantonese,1,45,china,False,academic,usa,1.0,3
20.0,13.0,"hong kong, china",cantonese2,cantonese,0,46,china,False,academic,usa,0.3,3
22.0,6.0,"hong kong, china",cantonese3,cantonese,0,47,china,False,academic,uk,0.1,3
29.0,13.0,"fuzhou, fujian, china",cantonese4,cantonese,1,48,china,False,academic,usa,4.0,3
18.0,14.0,"hong kong, china",cantonese5,cantonese,0,49,china,False,academic,newzealand,0.7,3
32.0,6.0,"saipan, saipan, northern mariana islands",carolinian1,carolinian,1,50,northern mariana islands,False,academic,usa,10.0,rem
39.0,13.0,"tarragona, spain",catalan1,catalan,0,51,spain,False,academic,uk,0.2,9
18.0,1.0,"saipan, saipan, northern mariana islands",chamorro1,chamorro,0,52,northern mariana islands,False,naturalistic,usa,0.2,rem
27.0,10.5,"prague, czech republic",czech1,czech,1,53,czech republic,False,academic,usa,1.5,rem
45.0,11.0,"horsens, denmark",danish1,danish,1,54,denmark,False,academic,usa,8.0,15
37.0,8.0,"haslev, denmark",danish2,danish,1,55,denmark,False,academic,usa,4.0,15
25.0,13.0,"kabul, zoroastrian, afghanistan",dari1,dari,1,56,afghanistan,False,academic,usa,5.0,rem
38.0,13.0,"nijmegen, netherlands",dutch1,dutch,0,57,netherlands,False,academic,uk,0.1,rem
41.0,14.0,"amsterdam, netherlands",dutch2,dutch,0,58,netherlands,False,academic,uk,0.1,rem
25.0,6.0,"benin city, nigeria",edo1,edo,0,60,nigeria,False,academic,usa,4.0,16
42.0,0.0,"pittsburgh, pennsylvania, usa",english1,english,0,61,usa,False,naturalistic,usa,41.0,1
35.0,0.0,"davenport, iowa, usa",english10,english,1,62,usa,False,naturalistic,usa,35.0,1
23.0,0.0,"miami, florida, usa",english100,english,1,63,usa,False,naturalistic,usa,23.0,rem
18.0,0.0,"toronto, ontario, canada",english101,english,1,64,canada,False,naturalistic,canada,18.0,1
22.0,0.0,"torrington, connecticut, usa",english102,english,0,65,usa,False,naturalistic,usa,22.0,1
21.0,0.0,"staten island, new york, usa",english103,english,0,66,usa,False,naturalistic,usa,21.0,rem
18.0,0.0,"youngstown, ohio, usa",english104,english,1,67,usa,False,naturalistic,usa,18.0,rem
35.0,0.0,"staffordshire, uk",english11,english,1,68,uk,False,naturalistic,uk,35.0,6
71.0,0.0,"leicester, uk",english12,english,1,69,uk,False,naturalistic,uk,71.0,6
69.0,0.0,"henley on thames, oxfordshire, uk",english13,english,0,70,uk,False,naturalistic,uk,69.0,6
40.0,0.0,"belfast, northern ireland, uk",english14,english,0,71,uk,False,naturalistic,"uk,usa",40.0,6
7.0,0.0,"norton, virginia, usa",english15,english,1,72,usa,False,naturalistic,usa,7.0,0
21.0,0.0,"wise, virginia, usa",english16,english,0,73,usa,False,naturalistic,usa,21.0,0
79.0,0.0,"darwin va, virginia, usa",english17,english,0,74,usa,False,naturalistic,usa,79.0,0
39.0,0.0,"dickenson county, virginia, usa",english18,english,1,75,usa,False,naturalistic,usa,39.0,0
53.0,0.0,"louisville, kentucky, usa",english19,english,0,76,usa,False,naturalistic,usa,53.0,rem
30.0,0.0,"birmingham, uk",english2,english,1,77,uk,False,naturalistic,uk,30.0,6
27.0,0.0,"mt. holly, north carolina, usa",english20,english,1,78,usa,False,naturalistic,usa,27.0,0
37.0,0.0,"boston, massachusetts, usa",english21,english,1,79,usa,False,naturalistic,usa,37.0,rem
25.0,0.0,"panama city, panama",english22,english,1,80,panama,False,naturalistic,usa,5.0,rem
43.0,0.0,"englewood, tennessee, usa",english23,english,0,81,usa,False,naturalistic,usa,43.0,0
37.0,0.0,"glasgow, scotland, uk",english24,english,0,82,uk,False,naturalistic,"uk,usa",37.0,6
57.0,0.0,"atlanta, georgia, usa",english25,english,0,83,usa,False,naturalistic,usa,57.0,0
71.0,0.0,"smith island, maryland, usa",english26,english,0,84,usa,False,naturalistic,usa,71.0,rem
